   name1,name2,street1,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility
Ness Counseling Center Inc,,8512 Whitworth Drive,Los Angeles,CA,90035,,Los Angeles,310-360-8512 x104,,310-360-8512,,http://www.thenesscenter.org,34.0568972,-118.376749,SA
American Indian Changing Spirits,,2120 West Williams Street,Long Beach,CA,90810,,Los Angeles,562-388-8118,,562-388-8115,,http://americanindianchangingspirits.org,33.7927367,-118.2207956,SA
United States Veterans Initiative,Long Beach,2001 River Avenue,Long Beach,CA,90810,,Los Angeles,562-200-7300,,562-500-7300,,http://www.usvetsinc.org,33.7922259,-118.2222953,SA
New Hope Drug and Alcohol Trt Prog,,1841 West Imperial Highway,Los Angeles,CA,90047,,Los Angeles,323-750-2850,,,,http://www.newhopereha.com,33.9310339,-118.3105413,SA
American Health Services LLC,Van Nuys Medical/Mental Hlth Servs,6265 Sepulveda Boulevard,Van Nuys,CA,91411,,Los Angeles,818-779-0555,,,,http://www.americanhealthservices.org,34.1843151,-118.4667316,SA
Living Rebos,,1772 South Robertson Boulevard,Los Angeles,CA,90035,4316,Los Angeles,310-694-5590,Intakes,310-694-5590 x128,310-694-5590 x129,http://www.rebostreatment.com,34.047312,-118.3856606,SA
Champions Recovery Alternative Prog,Samuels House,11517 15th Avenue,Lemoore,CA,93245,,Kings,559-380-0800,,559-583-9300,,http://championsrecoveryprograms.org,36.3060117,-119.7267716,SA
CareForward Health,,9730 Wilshire Boulevard,Beverly Hills,CA,90212,,Los Angeles,310-288-1718,,,,http://www.care-forward.com,34.0667571,-118.4074383,SA
Beit T Shuvah,,8831 Venice Boulevard,Los Angeles,CA,90034,,Los Angeles,310-204-5200 x427,,310-204-5200 x219,,http://www.beittshuvah.org,34.0308284,-118.3863525,SA
Behavioral Health Services,Pacifica House,2501 West El Segundo Boulevard,Hawthorne,CA,90250,,Los Angeles,323-754-2816,,,,http://www.bhs-inc.org,33.916945,-118.32065,SA
Asian American Drug Abuse Program,,520 North La Brea Avenue,Inglewood,CA,90302,,Los Angeles,323-294-4932,,,,http://www.aadapinc.org//,33.9697469,-118.3558721,SA
Asian American Drug Abuse Program,Youth Outpatient Treatment,13931 Van Ness Avenue,Gardena,CA,90249,,Los Angeles,310-768-8018,,,310-768-4152,http://www.aadapinc.org,33.9050619,-118.3180446,SA
KOLPIA Counseling Services Inc,,607 Siskyou Boulevard,Ashland,OR,97520,,Jackson,541-482-1718,,,,http://www.kolpiacounseling.com,42.192973,-122.705619,SA
Behavioral Hlth and Recovery Servs,West Kern Subst Use Disorder Trt,928 F Street,Wasco,CA,93280,,Kern,661-758-7321,,661-868-6453,,http://www.kernbhrs.org/,35.591003,-119.3333969,SA
Twin Town Treatment Centers,Twin Town Torrance,20300 Vermont Avenue,Torrance,CA,90502,,Los Angeles,310-787-1335,,,866-594-8844,http://www.twintowntreatmentcenters.com,33.8467564,-118.2896108,SA
Behavioral Health Services,Patterns,12917 Cerise Avenue,Hawthorne,CA,90250,,Los Angeles,310-675-4431,,,,http://,33.9148174,-118.3328166,SA
Divine Healthcare Services Inc,Drug/Alcohol Abuse and MH Servs,405 West Manchester Boulevard,Inglewood,CA,90301,,Los Angeles,310-672-3820,,,,http://www.divinehealthcareservices.org,33.9619782,-118.3621201,SA
Sanctuary Treatment Center,,4815 Woodley Avenue,Encino,CA,91436,,Los Angeles,818-646-3280,Intakes,855-333-6918,818-299-3602,http://www.sanctuarytreatmentcenter.com,34.157781,-118.4840697,SA
El Dorado Community Service Center,Inglewood Medical/Mental Hlth Servs,4450 West Century Boulevard,Inglewood,CA,90304,,Los Angeles,310-671-9294,,,,http://WWW.AMERICANHEALTHSERVICES.ORG,33.9451722,-118.3540021,SA
A Step in the Right Direction,,9535 Reseda Boulevard,Northridge,CA,91324,,Los Angeles,818-231-1400,,,,http://www.astepintherightdirection.org,34.243129,-118.5370302,SA
Aegis Treatment Centers LLC,,614 West Manchester Boulevard,Inglewood,CA,90301,,Los Angeles,310-412-0879,,,,http://www.aegismed.com,33.9613653,-118.3672715,SA
Behavioral Health Services,Wilmington Comm Recovery Ctr,1318 North Avalon Boulevard,Wilmington,CA,90744,,Los Angeles,310-549-2710 x3612,,310-549-2710,,http://www.bhs-inc.org,33.7894386,-118.2626715,SA
Aegis Treatment Centers LLC,,1322 North Avalon Boulevard,Wilmington,CA,90744,,Los Angeles,310-513-1300,,,,http://aegistreatmentcenters.com,33.7895548,-118.2628721,SA
Behavioral Health Services,South Bay Family Recovery Center,15519 Crenshaw Boulevard,Gardena,CA,90249,,Los Angeles,310-679-9031 x1235,,310-679-9031 x1200,,http://www.bhs-inc.org,33.8894291,-118.3269704,SA
Family United N New Beginnings,,11616 Hawthorne Boulevard,Hawthorne,CA,90250,,Los Angeles,310-644-5600,,,,http://,33.928699,-118.352255,SA
Alta Centers Inc,,5435 Balboa Boulevard,Encino,CA,91316,,Los Angeles,323-428-0213,,,,http://www.altacenters.com,34.1700477,-118.5019049,SA
Options for Recovery,Stork Club,1124 West Carson Street,Torrance,CA,90502,,Los Angeles,310-222-5410,,,,http://www.optionsforrecovery.com,33.8308175,-118.2952526,SA
VA South OR Rehab Ctr and Clinics,,8495 Crater Lake Highway,White City,OR,97503,,Jackson,541-826-2111,,,,http://www.southernoregon.va.gov/services/SORCC_Addiction_Treatment_Program_SATP.asp,42.4420704,-122.8396905,SA
Coastal Recovery Comp Trt Ctr,,117 East Harry Bridges Boulevard,Wilmington,CA,90744,,Los Angeles,310-683-5459,,,,http://,33.7715047,-118.2610618,SA
Authentic Recovery Center,,10780 Santa Monica Boulevard,Los Angeles,CA,90025,,Los Angeles,877-415-4673,,877-500-7613,,http://www.arctreatment.com/,34.0505855,-118.434065,SA
AM/PM Culver City Budget DUI Sch,Escuela Latina/Assessments-Eval,4323 Sepulveda Boulevard,Culver City,CA,90230,,Los Angeles,310-837-1818,,,,http://californiacourtprograms.com/,34.004113,-118.4093598,SA
Clearview Treatment Programs,Outpatient,1334 Westwood Boulevard,Los Angeles,CA,90024,,Los Angeles,800-573-0770,,,,http://www.clearviewtreatment.com,34.0563891,-118.4420425,SA
A New Start Trt and Recovery Ctr,,1251 Westwood Boulevard,Los Angeles,CA,90024,4811,Los Angeles,310-287-1919,,310-741-0027,,http://anewstarttreatment.com/outpatient/,34.0575819,-118.443463,SA
Lawndale Medical and MH Servs,,4023 Marine Avenue,Lawndale,CA,90260,,Los Angeles,310-675-9555,,,,http://www.americanhealthservices.org,33.8948886,-118.3445968,SA
Western Pacific Med Corp,Western Pacific Reseda,7232 Canby Avenue,Reseda,CA,91335,,Los Angeles,818-705-5561,,,,http://www.westpacmed.com,34.2021574,-118.5345195,SA
Hollywood and Vine Recovery Center,,19642 Ballinger Street,Northridge,CA,91324,,Los Angeles,818-917-8500,,,,http://www.hollywoodandvinerecoverycenter.com,34.243057,-118.561761,SA
Tarzana Treatment Center Inc,Reseda,7101 Baird Avenue,Reseda,CA,91335,,Los Angeles,818-342-5897,Intakes,800-996-1051,818-996-1051,http://www.tarzanatc.org,34.199495,-118.5376188,SA
Life Uncommon,,8616 La Tijera Boulevard,Los Angeles,CA,90045,,Los Angeles,310-982-6062,,310-299-2102,,http://www.livelifeuncommon.com,33.9592201,-118.3915072,SA
Matrix Institute on Addictions,,1849 Sawtelle Boulevard,Los Angeles,CA,90025,7082,Los Angeles,818-226-6070 x108,,818-226-6070,,http://www.matrixinstitute.org,34.0425068,-118.4454178,SA
BHS,National Council on Alc and Drug Dep,1334 Post Avenue,Torrance,CA,90501,,Los Angeles,310-328-2095,,310-328-1460,,http://bhs-inc.org,33.8350335,-118.3174053,SA
Matrix Institute on Addictions,West Los Angeles,1849 Sawtelle Boulevard,Los Angeles,CA,90025,,Los Angeles,310-478-8305,,,800-310-7700,http://www.matrixinstitute.org,34.0425252,-118.4454707,SA
Ontrack Inc,DADS Program,515 Franquette Avenue,Medford,OR,97504,,Jackson,541-779-2003,,,,http://www.ontrackrecovery.org/,42.33080431,-122.8107764,SA
Westside Sober Living Centers Inc,Promises Residential Trt Ctr,3743 South Barrington Avenue,Los Angeles,CA,90066,,Los Angeles,310-390-2340,,,,http://www.promises.com,34.0080636,-118.4278336,SA
Ontrack Inc,Home Program,3397 Delta Waters Road,Medford,OR,97501,,Jackson,541-772-4648,,,,http://www.ontrackrecovery.org/,42.360523,-122.827955,SA
AM/PM West LA Convenient Driver,Safety DUI Schl Asmts/Evals,2511 South Barrington Avenue,Los Angeles,CA,90064,,Los Angeles,310-479-8353,,,,http://californiacourtprograms.com/,34.0284715,-118.4437381,SA
Tarzana Treatment Center Inc,,18646 Oxnard Street,Tarzana,CA,91356,,Los Angeles,800-996-1051,,,818-996-1051,http://www.tarzanatc.org,34.1795005,-118.5398534,SA
Driver Benefits Inc,Southwest Driver Benefits Program,2370 West Carson Street,Torrance,CA,90501,,Los Angeles,310-320-9550,,,,http://,33.83134764,-118.3257191,SA
South Bay Drug Abuse Coalition,,2370 West Carson Street,Torrance,CA,90501,,Los Angeles,310-328-0780,,,,http://www.southbayhumanservices.org,33.8306544,-118.3253921,SA
Tarzana Treatment Center Inc,,18700 Oxnard Street,Tarzana,CA,91356,,Los Angeles,818-996-1051,,,,http://www.tarzanatc.org,34.1798947,-118.5410082,SA
Didi Hirsch Mental Health Services,Adolescent Interv/Recovery Prog,12420 Venice Boulevard,Los Angeles,CA,90066,,Los Angeles,310-751-1200,Intakes,310-390-8896,310-751-1207,http://www.didihirsch.org,34.0030578,-118.433994,SA
Western Health Harbor City Clinic,,1647 West Anaheim Street,Harbor City,CA,90710,3213,Los Angeles,310-534-5590,,,,http://www.westernhealthclinic.com,33.786447,-118.306603,SA
Thrive Treatment,,3101 Ocean Park Boulevard,Santa Monica,CA,90405,,Los Angeles,888-975-8474,,,,http://thrivetreatment.com,34.0209151,-118.4528627,SA
Canyon at Santa Monica,,12304 Santa Monica Boulevard,Los Angeles,CA,90025,,Los Angeles,424-465-5182,,888-980-4321 x12065,,http://canyonsantamonica.com,34.0390948,-118.4653188,SA
Allied Health Services,Medford,777 Murphy Road,Medford,OR,97504,,Jackson,541-705-2258,,,,http://,42.3148833,-122.8284211,SA
Beacon House Association of San Pedro,,1003 South Beacon Street,San Pedro,CA,90731,,Los Angeles,310-514-4940,,,,http://www.thebeaconhouse.org,33.73506929,-118.2805032,SA
Beacon House Association of San Pedro,Lighthouse,132 West 10th Street,San Pedro,CA,90731,,Los Angeles,310-514-4940,,,,http://www.thebeaconhouse.org,33.73513759,-118.2808174,SA
Beacon House Association of San Pedro,Catherines House,124 West 11th Street,San Pedro,CA,90731,,Los Angeles,310-514-4940,,,,http://www.thebeaconhouse.org,33.7343409,-118.2810477,SA
Beacon House Association of San Pedro,McMillen House,1012 South Palos Verdes Street,San Pedro,CA,90731,,Los Angeles,310-514-4940,,,,http://www.thebeaconhouse.org,33.73497367,-118.2814458,SA
House of Hope Foundation,,235 West 9th Street,San Pedro,CA,90731,,Los Angeles,310-831-9411,,877-403-8016,,http://www.houseofhopesp.org,33.73599478,-118.2828118,SA
Support for Harbor Area,Womens Lives/ Shawl House,936 South Centre Street,San Pedro,CA,90731,,Los Angeles,310-521-9310,,,,http://www.shawlwomenshouse.org,33.7353615,-118.2832441,SA
Phoenix Counseling Center Inc,,149 South Main Street,Phoenix,OR,97535,,Jackson,541-535-4133,,,,http://www.phoenixcounseling.org,42.27212615,-122.8135495,SA
Womens Odyssey Organization Inc,,20830 Parthenia Street,Winnetka,CA,91306,,Los Angeles,818-998-8972,,,,http://www.womensodyssey.org,34.22783,-118.587579,SA
Fred Brown Recovery Services Inc,,270 West 14th Street,San Pedro,CA,90731,,Los Angeles,310-519-8723,,,310-519-1117,http://www.fredbrownrecovery.org,33.731744,-118.282871,SA
Clearview Treatment Programs,,2435 Glyndon Avenue,Venice,CA,90291,,Los Angeles,800-573-0770,,,310-862-8972,http://,33.99473,-118.448728,SA
Behavioral Health Services,Joint Efforts,590 West 8th Street,San Pedro,CA,90731,,Los Angeles,310-831-2358,,310-831-2358 x3411,,http://www.bhs-inc.org,33.7371904,-118.2899315,SA
Clearview Treatment Programs,,2432 Walnut Avenue,Venice,CA,90291,,Los Angeles,800-573-0770,,,310-862-8972,http://www.clearviewtreatment.com,33.9945976,-118.4492704,SA
Clearview Treatment Programs,,2427 Walnut Avenue,Venice,CA,90291,,Los Angeles,800-573-0770,,,,http://,33.994463,-118.449834,SA
Peace By Piece Treatment Center,,5343 Shirley Avenue,Tarzana,CA,91356,,Los Angeles,818-585-9411,,,,http://,34.1683754,-118.5581187,SA
Thelma McMillen Center,,3333 Skypark Drive,Torrance,CA,90505,,Los Angeles,310-784-4879,,,,http://www.ThelmaMcMillenCenter.com,33.810292,-118.34635,SA
American Health Services LLC,Venice Medical and Mental Health Servs,717 Lincoln Boulevard,Venice,CA,90291,,Los Angeles,310-399-9883,,,310-671-0555,http://www.americanhealthservices.org,33.999312,-118.464182,SA
Fred Brown Recovery Services Inc,19th Street Services,856 West 19th Street,San Pedro,CA,90731,,Los Angeles,310-833-7400,Intakes,310-519-8723,310-519-1117,http://www.fredbrownrecovery.org,33.72697893,-118.2958575,SA
Sea Change Santa Monica,,1831 Wilshire Boulevard,Santa Monica,CA,90403,,Los Angeles,888-823-3310,,,,http://www.seachangerecovery.com,34.0307387,-118.4845451,SA
Villa Treatment Center,,5051 Hood Drive,Woodland Hills,CA,91364,,Los Angeles,747-226-0187,,855-591-6116,,http://www.thevillatreatmentcenter.com,34.1628724,-118.5678978,SA
Addictions Recovery Center,,1003 East Main Street,Medford,OR,97504,,Jackson,541-779-1282 x126,,541-779-1282,,http://www.addictionsrecovery.org,42.328598,-122.8613558,SA
California Diversion Programs Inc,,21054 Sherman Way,Canoga Park,CA,91303,,Los Angeles,818-716-0188,,,,http://www.cadip.com,34.2007789,-118.5925691,SA
CLARE Foundation Inc,CLARE Drug Court Program,1020 Pico Boulevard,Santa Monica,CA,90405,,Los Angeles,310-314-6200,Intakes,310-314-6200 x4010,866-452-5273,http://www.clarefoundation.org,34.0133651,-118.4803394,SA
Koinonia Foster Homes Inc,Koinonia Treatment Clinic,5980 Webb Street,Loomis,CA,95650,,Placer,916-652-0171,,,,http://www.kfh.org,38.8219756,-121.1921685,SA
Koinonia Foster Homes Inc,DBA Koinonia Homes for Teens,5980 Webb Street,Loomis,CA,95650,,Placer,916-652-0171,,,,http://www.kfh.org,38.8219756,-121.1921685,SA
CLARE Foundation Inc,Detox/Primary,907 Pico Boulevard,Santa Monica,CA,90405,,Los Angeles,310-314-6200 x3181,Intakes,310-314-6200,866-452-5273,http://www.clarefoundation.org,34.013213,-118.481681,SA
CLARE Foundation Inc,Womens Treatment Program,844 Pico Boulevard,Santa Monica,CA,90405,,Los Angeles,310-314-6200,,,866-452-5273,http://www.clarefoundation.org,34.0128005,-118.4815264,SA
CLARE Foundation Inc,Mens Treatment Program,905 Pico Boulevard,Santa Monica,CA,90405,,Los Angeles,310-314-6200 x4010,,,866-452-5273,http://www.clarefoundation.org,34.0131425,-118.481793,SA
Addictions Recovery Center,Rogue Valley Fresh Start Detox,338 North Front Street,Medford,OR,97501,,Jackson,541-200-1581,,541-779-1282,,http://www.addictionsrecovery.org,42.329249,-122.8757038,SA
Phoenix House/Venice,,503 Ocean Front Walk,Venice,CA,90291,,Los Angeles,310-597-4812,Intakes,310-392-3070 x4915,800-378-4435,http://www.phoenixhouse.org,33.9933126,-118.4789719,SA
Butte County Dept of Behavioral Hlth,Oroville Stepping Stones,2167 Montgomery Street,Oroville,CA,95966,,Butte,530-538-7277,Intakes,530-538-2576,530-891-3251,http://www.buttecounty.net/behavioralhealth/Home.aspx,39.514415,-121.553575,SA
Ontrack Inc,,221 West Main Street,Medford,OR,97501,,Jackson,541-772-1777,,,,http://www.ontrackrecovery.org,42.32493376,-122.8753081,SA
Alcohol Drug Council,High Gain Project,1424 4th Street,Santa Monica,CA,90401,,Los Angeles,310-451-5881,,,,http://www.adcwa.com,34.0157215,-118.4947703,SA
Your Empowering Solutions Inc,,4020 Palos Verdes Drive North,Palos Verdes Peninsula,CA,90274,,Los Angeles,310-541-6350,,888-541-6350,,http://www.non12step.com,33.78287379,-118.3528896,SA
Addictions Recovery Center,Residential Services ,1003 West Main Street,Medford,OR,97501,,Jackson,541-779-1282,,,,http://www.addictionsrecovery.org,42.323447,-122.88264,SA
Ontrack Inc,Teen Program,1501 West Main Street,Medford,OR,97501,,Jackson,541-858-4642,,,541-200-2428,http://www.ontrackrecovery.org,42.323441,-122.8887409,SA
Malibu Beach Recovery Centers,,15415 West Sunset Boulevard,Pacific Palisades,CA,90272,,Los Angeles,310-456-2026,,844-865-1708,,http://www.malibubeachrecovery.com,34.0484175,-118.5274942,SA
Behavioral Health Services,Feather River Tribal Health Center,2145 5th Avenue,Oroville,CA,95965,,Butte,530-534-5394,,530-534-5394 x270,,http://www.frth.org,39.5036595,-121.5631101,SA
Lincoln Cnty Hlth and Human Servs,Lincoln City,4422 NE Devils Lake Boulevard,Lincoln City,OR,97367,,Lincoln,541-265-4196,,,,http://www.co.lincoln.or.us,44.9981851,-123.9962226,SA
Harmony Place,,23041 Hatteras Street,Woodland Hills,CA,91367,,Los Angeles,818-796-4369,,888-789-4330,,http://www.harmonyplace.com,34.1758976,-118.6288823,SA
Karuk Tribe Health and Human Servs,,1515 South Oregon Street,Yreka,CA,96097,,Siskiyou,530-841-3141,,,,http://www.karuk.us,41.7177691,-122.6427881,SA
ADAPT,The Crossroads,3099 Diamond Lake Boulevard NE,Roseburg,OR,97470,,Douglas,541-673-3469,Intakes,541-492-0222,541-673-3469 x1506,http://WWW.ADAPTOREGON.ORG,43.212606,-123.311846,SA
Action Drug Rehabs,Simi Valley IOP,4380 Apricot Road,Simi Valley,CA,93063,,Ventura,800-367-8336,,,,http://www.actiondrugrehabs.com,34.2805477,-118.7097669,SA
Discovery Counseling Inc,,1424 SE 51st Street,Lincoln City,OR,97367,,Lincoln,541-574-9050,,,,http://www.growthhappens.org,44.9282044,-124.013516,SA
Behav Health and Recovery Servs,Center at El Portal,3305 G Street,Merced,CA,95340,,Merced,209-381-6880,,,209-381-6800,http://,37.324,-120.469753,SA
Behav Health and Recovery Servs,Recov Assistance for Teens (RAFT),3313 North G Street,Merced,CA,95340,,Merced,209-381-6880,,,,http://,37.3239684,-120.4700911,SA
Community Soc Model Advocates,Hobie House,1299 and 1301 Yosemite Parkway,Merced,CA,95340,,Merced,209-722-6335,,,,http://www.csmainc.org,37.2952597,-120.4594502,SA
ADAPT,Deer Creek/Adolescent Trt Center,2064 Douglas Street SE,Roseburg,OR,97470,,Douglas,541-673-5119,,,,http://www.adaptoregon.org,43.2105406,-123.3277181,SA
BHRS-SUD Division,The Center,676 Loughborough Drive,Merced,CA,95340,,Merced,209-381-6850,,,,http://www.co.merced.ca.us,37.3223468,-120.4794,SA
Cow Creek Band of,Umpqua Tribe of Indians,2371 North East Stephens Street,Roseburg,OR,97470,,Douglas,541-672-8533,,541-839-1345 x2402,,http://www.cowcreek.com,43.23860934,-123.3515994,SA
Clean and Sober Recovery Services Inc,,5820 Chestnut Avenue,Orangevale,CA,95662,,Sacramento,916-990-0190,,,916-990-0191,http://candsrecovery.com,38.671302,-121.211086,SA
Ventura County Behav Health Dept,Simi Valley Center,3150 Los Angeles Avenue,Simi Valley,CA,93065,,Ventura,805-577-1724,,,,http://www.venturacountylimits.org,34.2714005,-118.735994,SA
ADAPT,Jackson,621 West Madrone Street,Roseburg,OR,97470,,Douglas,541-672-2691,,,,http://www.adaptoregon.org,43.2134022,-123.3510256,SA
Aegis Treatment Centers LLC,,1343 West Main Street,Merced,CA,95340,,Merced,209-725-1060,,,,http://www.aegistreatmentcenters.com,37.3061849,-120.4962581,SA
Reconnections Counseling,Toledo Office,326 NE 2nd Street,Toledo,OR,97391,,Lincoln,541-574-9570,,,,http://www.reconnectionscounseling.com/,44.6219098,-123.934145,SA
VA Roseburg Healthcare System,,913 NW Garden Valley Boulevard,Roseburg,OR,97471,,Douglas,541-440-1000,Intakes,541-440-1000 x44635,800-549-8387,http://,43.2270692,-123.3650574,SA
Clean and Sober Detox,,8946 Madison Avenue,Fair Oaks,CA,95628,,Sacramento,916-965-3386,,,916-863-0600,http://www.CleanAndSoberDetox.com,38.663574,-121.222053,SA
New Dawn Treatment Centers,Detox Services,8780 Sherry Drive,Orangevale,CA,95662,,Sacramento,916-784-1149,Intakes,916-723-1319,916-969-4300,http://www.newdawntreatmentcenters.com,38.676031,-121.230914,SA
New Dawn Treatment Centers,Residential Rehab,6043 Roloff Way,Orangevale,CA,95662,,Sacramento,916-989-1675,,916-723-1319,,http://www.newdawntreatmentcenters.com,38.67650625,-121.2322241,SA
Serenity Lane,Roseburg,2575 NW Kline Street,Roseburg,OR,97471,,Douglas,541-673-3504,,,,http://www.serenitylane.org,43.237105,-123.378341,SA
Westside Sober Living Centers Inc,Promises Residential Trt Ctr Malibu,20725 Rockcroft Drive,Malibu,CA,90265,,Los Angeles,310-390-2340,,,,http://www.promises.com,34.0450849,-118.6206024,SA
Aegis Treatment Centers LLC,,1133 Coloma Way,Roseville,CA,95661,,Placer,916-774-6647,,,,http://www.aegistreatmentcenters.com,38.736611,-121.2734098,SA
Community Recovery Resources,Adolescent Program,730 Sunrise Avenue,Roseville,CA,95661,,Placer,916-787-4357,,,,http://www.corr.us//,38.7336441,-121.2725212,SA
Prominence Treatment Center,,2150 Cold Canyon Road,Calabasas,CA,91302,,Los Angeles,818-878-6900,Intakes,310-488-1972,888-609-3448,http://www.prominencetreatment.com,34.098459,-118.665648,SA
Prominence Treatment Center,,25053 Mulholland Highway,Calabasas,CA,91302,,Los Angeles,818-878-6900 x6902,,310-488-1972,,http://Prominencetreatment.com/,34.099251,-118.669562,SA
County of Placer,Placer County AOD Treatment Prog,101 Cirby Hills Drive,Roseville,CA,95678,,Placer,916-787-8800,,,,http://,38.7301935,-121.2864834,SA
Malibu Balance Day Treatment,,4505 Las Virgenes Road,Calabasas,CA,91302,,Los Angeles,855-414-8100,,,818-880-0800,http://www.balancetreatment.com,34.1403889,-118.7007586,SA
Malibu Canyon Rehab,,4505 Las Virgenes Road,Calabasas,CA,91302,,Los Angeles,818-878-6900,,310-488-1972,,http://Prominencetreatment.com/,34.1402202,-118.7008498,SA
Aegis Treatment Centers LLC,,660 East Los Angeles Avenue,Simi Valley,CA,93065,,,805-522-1844,,,,http://www.aegistreatmentcenters.com,34.2704035,-118.7853327,SA
Skyway House,,40 Landing Circle ,Chico,CA,95973,,Butte,530-898-8326,,,,http://www.skywayhouse.org,39.775863,-121.840676,SA
Recovery Happens Counseling Servs,,7996 Old Winding Way,Fair Oaks,CA,95628,,Sacramento,916-276-0626,,,,http://www.recoveryhappens.com,38.644641,-121.268558,SA
Soba Living LLC,DBA Soba Recovery,22669 Pacific Coast Highway,Malibu,CA,90265,,Los Angeles,866-547-6451,,,,http://www.sobamalibu.com/,34.0397256,-118.6693416,SA
Sacramento Pathway,Pathways Recovery,6538 Grey Oak Court,Citrus Heights,CA,95621,,Sacramento,916-735-8377,,,,http://www.pathwaysrecovery.com,38.7128845,-121.3117449,SA
Community Social Model Advocates,Rose J Riordan Tranquility Village,559 Mendocino Court,Atwater,CA,95301,,Merced,209-357-5200,,,,http://www.csmainc.org,37.3503636,-120.5908922,SA
Aegis Treatment Centers LLC,,584 588 and 590 Rio Lindo Avenue,Chico,CA,95926,,Butte,530-345-3491,,,,http://www.aegistreatmentcenters.com,39.7547398,-121.8479437,SA
Butte County Dept of Behavioral Hlth,Adult Treatment Court Chico,564 Rio Lindo Avenue,Chico,CA,95926,,Butte,530-879-3950,,,530-879-3795,http://www.buttecounty.net/behavioralhealth/Home.aspx,39.7554344,-121.8488777,SA
Solutions FPC Inc,,645 Normal Avenue,Chico,CA,95928,,Butte,530-898-8333,,,,http://www.duisolutions.org,39.7253032,-121.839178,SA
CW Psychological Association,AwakeningsPM,28720 Roadside Drive,Agoura Hills,CA,91301,,Los Angeles,805-795-8262,Intakes,855-717-3268,805-574-0936,http://www.awakeningsPM.com,34.1434577,-118.7520949,SA
New Dawn Recovery Center,,6371 Auburn Boulevard,Citrus Heights,CA,95621,,Sacramento,916-723-1319,,,,http://www.newdawnrecovery.com,38.6826882,-121.3155743,SA
Associated Rehab Prog for Women,Cornerstone,6348 Appian Way,Carmichael,CA,95608,,Sacramento,916-966-5102,,,916-944-3920,http://www.recoverywomen.com,38.6633074,-121.3161727,SA
Associated Rehab Prog for Women,Cornerstone,6350 Appian Way,Carmichael,CA,95608,,Sacramento,916-966-5102,,,916-944-3920,http://www.recoverywomen.com,38.6631725,-121.3162413,SA
Associated Rehab Prog for Women,Alpha Oaks,8400 Fair Oaks Boulevard,Carmichael,CA,95608,,Sacramento,916-944-3920,,,,http://www.recoverywomen.com,38.6361654,-121.3064759,SA
Ventura County Behavioral Health,Alcohol and Drug Programs,828 West Ventura Street,Fillmore,CA,93015,,Ventura,805-524-8644,,805-524-8645,,http://ventura.org,34.3954322,-118.9212304,SA
Addiction Treatment Services Inc,,1496 North Beale Road,Marysville,CA,95901,,Yuba,530-749-8640,,,,http://americanhealthservices.org,39.127459,-121.561154,SA
Inspire Malibu,,3875 Kanan Road,Agoura Hills,CA,91301,,Los Angeles,818-707-7100,,800-444-1838,,http://inspiremalibu.com,34.131271,-118.763181,SA
Northern Valley Indian Health Inc,,845 West East Avenue,Chico,CA,95926,,Butte,530-896-9400,,,,http://www.nvih.org,39.7473948,-121.8761638,SA
Lincoln Cnty Hlth and Human Servs,Child and Family Program,36 SW Nye Street,Newport,OR,97365,,Lincoln,541-265-4179,,,,http://www.co.lincoln.or.us,44.6359796,-124.0558949,SA
Lincoln County HHS,,51 SW Lee Street,Newport,OR,97365,,Lincoln,541-574-5960,,,,http://www.co.lincoln.or.us,44.6360822,-124.0563347,SA
Discovery Counseling Inc,,332 SW Coast Highway,Newport,OR,97365,,Lincoln,541-574-9050,,,,http://www.growthhappens.org,44.6335572,-124.0562685,SA
Center for Human Services,SUD IOT,631 West F Street,Oakdale,CA,95361,3734,Stanislaus,209-847-0420,Intakes,209-526-1440,209-526-1476,http://www.centerforhumanservices.org,37.7630096,-120.8547749,SA
D and A Detox Center,,2721 Barbera Way,Rancho Cordova,CA,95670,,Sacramento,916-364-7660,,,,http://www.dandadetox.net,38.5946229,-121.2938417,SA
Inspire Malibu,,30101 Agoura Court,Agoura Hills,CA,91301,,Los Angeles,818-532-6243,,800-444-1838,,http://www.inspiremalibu.com,34.1465271,-118.7782404,SA
D and A Mens Treatment,,10157 La Allegra Drive,Rancho Cordova,CA,95670,,Sacramento,916-361-2833,,,916-364-7660,http://www.dandadetoxcenter.com,38.5961116,-121.2969674,SA
Pathways House I,,2 9th Street,Marysville,CA,95901,,Yuba,530-742-6670,,,,http://www.yspathways.net,39.1450385,-121.5839188,SA
Mather ARTS Outpatient Clinic,VA Nor Cal Healthcare System,10535 Hospital Way,Mather,CA,95655,,Sacramento,916-366-5420,,800-382-8387,,http://www.northerncalifornia.va.gov/services/mh/arts.asp,38.5730601,-121.2955155,SA
Aegis Treatment Centers LLC,,201 D Street,Marysville,CA,95901,,Yuba,530-742-7747,,,,http://aegistreatmentcenters.com,39.137566,-121.5883367,SA
Malibu Beach Recovery Centers,Corral House,1752 Corral Canyon,Malibu,CA,90265,,Los Angeles,800-366-8101,,,310-456-2026,http://www.malibubeachrecovery.com,34.062531,-118.746451,SA
BAART Behavioral Health Servs Inc ,Bi Valley Medical,6127 Fair Oaks Boulevard,Carmichael,CA,95608,,Sacramento,916-974-8090,,916-974-8090 x3023,,http://www.baartprograms.com,38.6124379,-121.3292775,SA
